id,category,info,last_updated
2802,Locations,"PGs available in Baner, Talwade",2025-01-21
2803,Pricing,Executive room in Pimple Saudagar: ₹16978/month,2025-01-21
2804,Offers,₹2000 off for 6-month stays,2025-01-08
2805,Offers,10% discount for new customers,2025-01-31
2806,Offers,10% discount for new customers,2025-01-23
2807,Pricing,Private room in Baner: ₹17110/month,2025-02-02
2808,Pricing,Executive room in Talwade: ₹12451/month,2025-01-17
2809,Availability,9 Executive rooms available in Kharadi,2025-01-25
2810,Locations,"PGs available in Talwade, Pimple Saudagar, Baner",2025-02-01
2811,Offers,₹2000 off for 6-month stays,2025-01-08
2812,Locations,"PGs available in Kharadi, Baner",2025-01-07
2813,Locations,"PGs available in Baner, Kharadi",2025-01-21
2814,Offers,₹2000 off for 6-month stays,2025-01-08
2815,Offers,₹2000 off for 6-month stays,2025-01-19
2816,Offers,10% discount for new customers,2025-01-14
2817,Availability,4 Shared rooms available in Baner,2025-01-04
2818,Locations,"PGs available in Talwade, Hinjawadi, Kharadi",2025-01-06
2819,Offers,10% discount for new customers,2025-01-16
2820,Offers,Free first-week meals,2025-01-21
2821,Locations,"PGs available in Pimple Saudagar, Kharadi, Talwade",2025-02-02
2822,Locations,"PGs available in Kharadi, Pimple Saudagar, Hinjawadi, Baner",2025-01-15
2823,Availability,3 Executive rooms available in Talwade,2025-01-19
2824,Offers,10% discount for new customers,2025-02-02
2825,Availability,6 Shared rooms available in Talwade,2025-01-20
2826,Availability,7 Executive rooms available in Baner,2025-01-09
2827,Offers,10% discount for new customers,2025-01-18
2828,Pricing,Executive room in Hinjawadi: ₹14435/month,2025-01-29
2829,Offers,Free first-week meals,2025-02-03
2830,Offers,Free first-week meals,2025-01-14
2831,Offers,Free first-week meals,2025-01-19
2832,Offers,10% discount for new customers,2025-01-09
2833,Locations,"PGs available in Baner, Kharadi, Hinjawadi, Talwade",2025-01-08
2834,Locations,"PGs available in Hinjawadi, Kharadi, Pimple Saudagar, Baner",2025-01-04
2835,Locations,"PGs available in Pimple Saudagar, Talwade, Hinjawadi, Baner, Kharadi",2025-01-21
2836,Pricing,Shared room in Pimple Saudagar: ₹15535/month,2025-02-01
2837,Pricing,Executive room in Kharadi: ₹15239/month,2025-01-11
2838,Locations,"PGs available in Talwade, Kharadi",2025-01-31
2839,Offers,Free first-week meals,2025-02-03
2840,Offers,10% discount for new customers,2025-01-04
2841,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Kharadi, Talwade, Baner",2025-01-29
2842,Availability,8 Private rooms available in Kharadi,2025-01-11
2843,Locations,"PGs available in Talwade, Pimple Saudagar, Hinjawadi",2025-01-23
2844,Offers,₹2000 off for 6-month stays,2025-01-12
2845,Locations,"PGs available in Kharadi, Talwade, Hinjawadi, Pimple Saudagar, Baner",2025-01-13
2846,Locations,"PGs available in Pimple Saudagar, Kharadi, Hinjawadi",2025-01-15
2847,Locations,"PGs available in Hinjawadi, Talwade, Baner",2025-01-19
2848,Availability,4 Shared rooms available in Kharadi,2025-01-14
2849,Availability,5 Shared rooms available in Kharadi,2025-01-04
2850,Pricing,Private room in Hinjawadi: ₹11242/month,2025-01-12
2851,Offers,₹2000 off for 6-month stays,2025-01-24
2852,Pricing,Shared room in Baner: ₹9572/month,2025-01-30
2853,Offers,10% discount for new customers,2025-01-15
2854,Availability,10 Executive rooms available in Kharadi,2025-01-05
2855,Availability,7 Shared rooms available in Kharadi,2025-01-28
2856,Pricing,Executive room in Baner: ₹8269/month,2025-02-01
2857,Offers,10% discount for new customers,2025-01-04
2858,Offers,Free first-week meals,2025-01-23
2859,Offers,Free first-week meals,2025-01-28
2860,Pricing,Executive room in Pimple Saudagar: ₹9962/month,2025-01-30
2861,Availability,7 Private rooms available in Pimple Saudagar,2025-01-28
2862,Pricing,Executive room in Hinjawadi: ₹8914/month,2025-01-24
2863,Offers,₹2000 off for 6-month stays,2025-01-10
2864,Offers,10% discount for new customers,2025-01-19
2865,Offers,Free first-week meals,2025-02-03
2866,Locations,"PGs available in Hinjawadi, Baner, Kharadi",2025-01-05
2867,Availability,7 Executive rooms available in Kharadi,2025-02-01
2868,Offers,10% discount for new customers,2025-02-03
2869,Pricing,Private room in Hinjawadi: ₹16912/month,2025-01-13
2870,Offers,Free first-week meals,2025-01-10
2871,Locations,"PGs available in Pimple Saudagar, Kharadi",2025-01-28
2872,Pricing,Private room in Pimple Saudagar: ₹17785/month,2025-01-12
2873,Pricing,Executive room in Hinjawadi: ₹8888/month,2025-01-06
2874,Pricing,Shared room in Hinjawadi: ₹18316/month,2025-01-26
2875,Locations,"PGs available in Baner, Pimple Saudagar",2025-01-29
2876,Pricing,Shared room in Pimple Saudagar: ₹8844/month,2025-01-24
2877,Pricing,Shared room in Baner: ₹17004/month,2025-01-27
2878,Pricing,Executive room in Talwade: ₹13465/month,2025-01-04
2879,Availability,5 Executive rooms available in Pimple Saudagar,2025-01-23
2880,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Kharadi, Talwade",2025-01-20
2881,Pricing,Shared room in Pimple Saudagar: ₹11948/month,2025-01-30
2882,Locations,"PGs available in Hinjawadi, Kharadi, Talwade, Pimple Saudagar, Baner",2025-01-05
2883,Offers,10% discount for new customers,2025-01-14
2884,Pricing,Executive room in Talwade: ₹9278/month,2025-01-05
2885,Availability,10 Shared rooms available in Talwade,2025-01-23
2886,Availability,3 Executive rooms available in Talwade,2025-01-29
2887,Availability,7 Executive rooms available in Pimple Saudagar,2025-01-15
2888,Offers,10% discount for new customers,2025-01-05
2889,Availability,7 Shared rooms available in Kharadi,2025-01-11
2890,Offers,Free first-week meals,2025-01-22
2891,Locations,"PGs available in Baner, Kharadi",2025-02-02
2892,Locations,"PGs available in Baner, Hinjawadi, Talwade",2025-01-18
2893,Locations,"PGs available in Kharadi, Baner",2025-01-25
2894,Locations,"PGs available in Kharadi, Pimple Saudagar, Talwade, Baner, Hinjawadi",2025-01-28
2895,Pricing,Private room in Hinjawadi: ₹17902/month,2025-01-21
2896,Offers,Free first-week meals,2025-01-25
2897,Pricing,Executive room in Talwade: ₹8266/month,2025-01-27
2898,Offers,10% discount for new customers,2025-01-31
2899,Offers,10% discount for new customers,2025-01-11
2900,Locations,"PGs available in Kharadi, Talwade, Pimple Saudagar, Baner, Hinjawadi",2025-01-07
2901,Offers,₹2000 off for 6-month stays,2025-01-21
2902,Locations,"PGs available in Baner, Hinjawadi, Pimple Saudagar, Talwade",2025-01-05
2903,Offers,Free first-week meals,2025-01-17
2904,Locations,"PGs available in Baner, Hinjawadi, Kharadi",2025-01-22
2905,Locations,"PGs available in Kharadi, Baner, Talwade",2025-01-20
2906,Locations,"PGs available in Talwade, Pimple Saudagar, Baner",2025-01-27
2907,Offers,Free first-week meals,2025-01-29
2908,Locations,"PGs available in Pimple Saudagar, Baner",2025-01-20
2909,Locations,"PGs available in Kharadi, Baner",2025-01-06
2910,Availability,7 Private rooms available in Hinjawadi,2025-01-23
2911,Locations,"PGs available in Kharadi, Hinjawadi, Talwade, Pimple Saudagar, Baner",2025-01-23
2912,Availability,8 Private rooms available in Talwade,2025-01-24
2913,Pricing,Executive room in Talwade: ₹8200/month,2025-01-21
2914,Offers,Free first-week meals,2025-01-27
2915,Pricing,Executive room in Hinjawadi: ₹8653/month,2025-02-02
2916,Availability,4 Shared rooms available in Baner,2025-01-25
2917,Pricing,Executive room in Kharadi: ₹12717/month,2025-02-01
2918,Locations,"PGs available in Talwade, Hinjawadi, Pimple Saudagar, Kharadi, Baner",2025-01-14
2919,Availability,3 Shared rooms available in Hinjawadi,2025-01-05
2920,Offers,10% discount for new customers,2025-02-01
2921,Offers,10% discount for new customers,2025-01-20
2922,Offers,10% discount for new customers,2025-01-11
2923,Offers,₹2000 off for 6-month stays,2025-01-15
2924,Availability,10 Shared rooms available in Pimple Saudagar,2025-01-18
2925,Availability,5 Executive rooms available in Hinjawadi,2025-01-23
2926,Locations,"PGs available in Hinjawadi, Talwade, Baner, Pimple Saudagar",2025-01-29
2927,Pricing,Shared room in Hinjawadi: ₹8655/month,2025-01-13
2928,Locations,"PGs available in Kharadi, Hinjawadi, Pimple Saudagar, Baner, Talwade",2025-01-11
2929,Availability,3 Shared rooms available in Kharadi,2025-01-13
2930,Locations,"PGs available in Kharadi, Baner",2025-01-31
2931,Pricing,Private room in Baner: ₹18701/month,2025-01-28
2932,Availability,5 Shared rooms available in Talwade,2025-01-04
2933,Offers,₹2000 off for 6-month stays,2025-01-07
2934,Availability,7 Executive rooms available in Hinjawadi,2025-02-03
2935,Availability,1 Shared rooms available in Talwade,2025-01-07
2936,Offers,₹2000 off for 6-month stays,2025-01-17
2937,Availability,3 Shared rooms available in Baner,2025-02-03
2938,Locations,"PGs available in Pimple Saudagar, Talwade",2025-02-01
2939,Pricing,Shared room in Hinjawadi: ₹12119/month,2025-01-24
2940,Availability,4 Shared rooms available in Hinjawadi,2025-01-21
2941,Locations,"PGs available in Baner, Hinjawadi",2025-01-31
2942,Offers,10% discount for new customers,2025-02-01
2943,Pricing,Private room in Pimple Saudagar: ₹15258/month,2025-01-21
2944,Offers,Free first-week meals,2025-01-14
2945,Availability,7 Shared rooms available in Pimple Saudagar,2025-01-08
2946,Offers,₹2000 off for 6-month stays,2025-01-15
2947,Pricing,Private room in Baner: ₹16536/month,2025-01-04
2948,Offers,Free first-week meals,2025-01-18
2949,Availability,5 Shared rooms available in Kharadi,2025-02-03
2950,Locations,"PGs available in Pimple Saudagar, Hinjawadi, Baner, Kharadi, Talwade",2025-01-07
2951,Locations,"PGs available in Pimple Saudagar, Kharadi, Hinjawadi, Baner",2025-01-27
2952,Availability,8 Private rooms available in Kharadi,2025-01-13
2953,Locations,"PGs available in Kharadi, Talwade, Pimple Saudagar, Hinjawadi, Baner",2025-01-12
2954,Offers,10% discount for new customers,2025-01-25
2955,Offers,10% discount for new customers,2025-01-29
2956,Pricing,Private room in Talwade: ₹10000/month,2025-02-03
2957,Availability,3 Shared rooms available in Pimple Saudagar,2025-01-17
2958,Availability,9 Shared rooms available in Kharadi,2025-01-26
2959,Offers,10% discount for new customers,2025-01-12
2960,Availability,5 Executive rooms available in Baner,2025-01-20
2961,Availability,6 Private rooms available in Talwade,2025-01-24
2962,Pricing,Shared room in Kharadi: ₹8298/month,2025-01-20
2963,Availability,1 Private rooms available in Baner,2025-02-03
2964,Locations,"PGs available in Pimple Saudagar, Kharadi, Talwade, Hinjawadi, Baner",2025-01-06
2965,Availability,5 Shared rooms available in Baner,2025-01-04
2966,Pricing,Private room in Talwade: ₹9057/month,2025-01-19
2967,Availability,1 Executive rooms available in Hinjawadi,2025-01-11
2968,Pricing,Executive room in Baner: ₹11564/month,2025-02-02
2969,Pricing,Shared room in Kharadi: ₹10896/month,2025-01-11
2970,Locations,"PGs available in Talwade, Baner, Kharadi, Hinjawadi, Pimple Saudagar",2025-01-31
2971,Availability,4 Executive rooms available in Kharadi,2025-02-03
2972,Availability,6 Shared rooms available in Kharadi,2025-01-15
2973,Availability,5 Private rooms available in Kharadi,2025-01-16
2974,Offers,10% discount for new customers,2025-01-21
2975,Availability,8 Executive rooms available in Hinjawadi,2025-01-28
2976,Pricing,Shared room in Hinjawadi: ₹18050/month,2025-01-28
2977,Availability,2 Executive rooms available in Talwade,2025-01-07
2978,Offers,10% discount for new customers,2025-01-14
2979,Availability,3 Private rooms available in Baner,2025-01-09
2980,Offers,₹2000 off for 6-month stays,2025-01-17
2981,Locations,"PGs available in Talwade, Baner, Hinjawadi, Pimple Saudagar",2025-01-06
2982,Locations,"PGs available in Talwade, Baner, Kharadi, Hinjawadi, Pimple Saudagar",2025-01-23
2983,Pricing,Executive room in Baner: ₹9116/month,2025-01-09
2984,Offers,Free first-week meals,2025-01-15
2985,Locations,"PGs available in Kharadi, Pimple Saudagar, Baner, Talwade",2025-01-30
2986,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Talwade",2025-01-19
2987,Pricing,Private room in Pimple Saudagar: ₹11203/month,2025-01-24
2988,Pricing,Shared room in Pimple Saudagar: ₹9049/month,2025-01-07
2989,Offers,Free first-week meals,2025-01-08
2990,Availability,10 Shared rooms available in Kharadi,2025-01-27
2991,Pricing,Shared room in Pimple Saudagar: ₹10001/month,2025-01-15
2992,Locations,"PGs available in Talwade, Hinjawadi",2025-01-30
2993,Offers,10% discount for new customers,2025-01-04
2994,Offers,₹2000 off for 6-month stays,2025-01-17
2995,Pricing,Executive room in Baner: ₹12144/month,2025-01-17
2996,Pricing,Shared room in Pimple Saudagar: ₹16438/month,2025-01-10
2997,Offers,Free first-week meals,2025-02-03
2998,Availability,1 Shared rooms available in Baner,2025-01-28
2999,Locations,"PGs available in Talwade, Pimple Saudagar",2025-01-09
3000,Pricing,Shared room in Talwade: ₹13110/month,2025-01-13
3001,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Kharadi, Talwade",2025-01-24
3002,Pricing,Private room in Pimple Saudagar: ₹12928/month,2025-01-26
3003,Pricing,Executive room in Talwade: ₹17967/month,2025-01-17
3004,Offers,Free first-week meals,2025-01-31
3005,Pricing,Shared room in Hinjawadi: ₹17078/month,2025-01-16
3006,Locations,"PGs available in Baner, Pimple Saudagar, Kharadi, Hinjawadi",2025-01-07
3007,Pricing,Shared room in Hinjawadi: ₹18444/month,2025-01-21
3008,Locations,"PGs available in Kharadi, Pimple Saudagar",2025-01-22
3009,Offers,₹2000 off for 6-month stays,2025-01-16
3010,Availability,6 Shared rooms available in Talwade,2025-01-20
3011,Availability,1 Private rooms available in Pimple Saudagar,2025-01-28
3012,Pricing,Executive room in Hinjawadi: ₹10156/month,2025-01-22
3013,Locations,"PGs available in Hinjawadi, Talwade, Pimple Saudagar, Kharadi",2025-01-31
3014,Availability,9 Executive rooms available in Talwade,2025-01-04
3015,Availability,8 Executive rooms available in Kharadi,2025-01-29
3016,Availability,7 Private rooms available in Kharadi,2025-01-26
3017,Offers,₹2000 off for 6-month stays,2025-01-16
3018,Availability,3 Private rooms available in Pimple Saudagar,2025-01-07
3019,Pricing,Executive room in Talwade: ₹10954/month,2025-01-08
3020,Availability,5 Shared rooms available in Kharadi,2025-01-08
3021,Pricing,Shared room in Talwade: ₹13277/month,2025-01-09
3022,Locations,"PGs available in Pimple Saudagar, Hinjawadi, Kharadi, Baner, Talwade",2025-01-23
3023,Availability,3 Executive rooms available in Hinjawadi,2025-01-16
3024,Pricing,Executive room in Hinjawadi: ₹8383/month,2025-01-24
3025,Availability,1 Private rooms available in Baner,2025-01-26
3026,Pricing,Executive room in Pimple Saudagar: ₹10357/month,2025-01-07
3027,Pricing,Executive room in Talwade: ₹17640/month,2025-01-13
3028,Locations,"PGs available in Talwade, Hinjawadi, Baner",2025-01-07
3029,Pricing,Private room in Kharadi: ₹10418/month,2025-01-27
3030,Locations,"PGs available in Talwade, Pimple Saudagar, Hinjawadi, Baner, Kharadi",2025-02-02
3031,Locations,"PGs available in Pimple Saudagar, Talwade, Hinjawadi",2025-01-05
3032,Availability,4 Private rooms available in Kharadi,2025-01-13
3033,Availability,4 Private rooms available in Pimple Saudagar,2025-01-10
3034,Locations,"PGs available in Talwade, Kharadi, Pimple Saudagar",2025-01-07
3035,Availability,10 Shared rooms available in Talwade,2025-01-11
3036,Locations,"PGs available in Kharadi, Hinjawadi, Baner, Pimple Saudagar, Talwade",2025-02-03
3037,Availability,8 Shared rooms available in Kharadi,2025-01-14
3038,Offers,10% discount for new customers,2025-01-26
3039,Pricing,Private room in Baner: ₹13297/month,2025-01-25
3040,Pricing,Shared room in Hinjawadi: ₹9152/month,2025-01-21
3041,Pricing,Executive room in Pimple Saudagar: ₹9646/month,2025-01-09
3042,Locations,"PGs available in Talwade, Baner, Hinjawadi",2025-01-26
3043,Availability,7 Shared rooms available in Pimple Saudagar,2025-01-31
3044,Availability,5 Private rooms available in Baner,2025-01-04
3045,Offers,₹2000 off for 6-month stays,2025-01-24
3046,Locations,"PGs available in Kharadi, Talwade, Pimple Saudagar",2025-01-29
3047,Availability,3 Private rooms available in Kharadi,2025-01-30
3048,Pricing,Executive room in Baner: ₹11183/month,2025-01-22
3049,Pricing,Executive room in Talwade: ₹13138/month,2025-01-21
3050,Offers,10% discount for new customers,2025-01-11
3051,Locations,"PGs available in Kharadi, Talwade, Pimple Saudagar, Baner",2025-01-16
3052,Offers,10% discount for new customers,2025-01-05
3053,Offers,₹2000 off for 6-month stays,2025-01-31
3054,Locations,"PGs available in Baner, Pimple Saudagar, Kharadi, Talwade, Hinjawadi",2025-01-19
3055,Availability,7 Executive rooms available in Hinjawadi,2025-01-11
3056,Pricing,Private room in Talwade: ₹12634/month,2025-01-15
3057,Offers,Free first-week meals,2025-02-03
3058,Offers,10% discount for new customers,2025-01-21
3059,Locations,"PGs available in Hinjawadi, Baner",2025-01-05
3060,Locations,"PGs available in Talwade, Baner, Pimple Saudagar",2025-02-01
3061,Pricing,Private room in Baner: ₹15749/month,2025-01-29
3062,Availability,5 Executive rooms available in Pimple Saudagar,2025-01-28
3063,Offers,10% discount for new customers,2025-01-23
3064,Locations,"PGs available in Baner, Hinjawadi, Pimple Saudagar",2025-01-04
3065,Availability,2 Shared rooms available in Hinjawadi,2025-01-31
3066,Locations,"PGs available in Baner, Kharadi, Pimple Saudagar, Hinjawadi, Talwade",2025-01-08
3067,Availability,3 Shared rooms available in Talwade,2025-01-21
3068,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Talwade",2025-01-08
3069,Offers,Free first-week meals,2025-01-13
3070,Locations,"PGs available in Hinjawadi, Kharadi, Pimple Saudagar",2025-01-24
3071,Offers,Free first-week meals,2025-01-04
3072,Pricing,Shared room in Pimple Saudagar: ₹12928/month,2025-01-29
3073,Offers,10% discount for new customers,2025-01-14
3074,Offers,Free first-week meals,2025-01-26
3075,Locations,"PGs available in Baner, Hinjawadi, Pimple Saudagar, Kharadi, Talwade",2025-01-29
3076,Pricing,Private room in Pimple Saudagar: ₹12059/month,2025-01-22
3077,Offers,Free first-week meals,2025-01-27
3078,Locations,"PGs available in Baner, Pimple Saudagar, Hinjawadi, Kharadi",2025-01-04
3079,Locations,"PGs available in Pimple Saudagar, Baner, Hinjawadi, Kharadi, Talwade",2025-01-04
3080,Availability,8 Executive rooms available in Baner,2025-01-15
3081,Availability,3 Executive rooms available in Hinjawadi,2025-01-09
3082,Offers,10% discount for new customers,2025-02-03
3083,Locations,"PGs available in Hinjawadi, Talwade, Baner, Pimple Saudagar",2025-01-18
3084,Locations,"PGs available in Kharadi, Hinjawadi, Pimple Saudagar, Talwade, Baner",2025-02-01
3085,Offers,10% discount for new customers,2025-01-28
3086,Offers,10% discount for new customers,2025-01-28
3087,Pricing,Private room in Kharadi: ₹14224/month,2025-01-30
3088,Pricing,Executive room in Kharadi: ₹12492/month,2025-01-29
3089,Offers,10% discount for new customers,2025-01-20
3090,Pricing,Private room in Pimple Saudagar: ₹17068/month,2025-01-05
3091,Offers,Free first-week meals,2025-01-26
3092,Pricing,Executive room in Talwade: ₹11952/month,2025-01-04
3093,Availability,6 Private rooms available in Talwade,2025-01-06
3094,Locations,"PGs available in Talwade, Pimple Saudagar",2025-01-21
3095,Pricing,Private room in Baner: ₹12301/month,2025-01-28
3096,Pricing,Private room in Baner: ₹15149/month,2025-01-24
3097,Locations,"PGs available in Pimple Saudagar, Baner, Kharadi, Hinjawadi, Talwade",2025-01-19
3098,Offers,10% discount for new customers,2025-02-01
3099,Availability,1 Executive rooms available in Hinjawadi,2025-01-07
3100,Offers,₹2000 off for 6-month stays,2025-01-10
3101,Offers,₹2000 off for 6-month stays,2025-01-08
3102,Availability,5 Shared rooms available in Baner,2025-01-21
3103,Pricing,Executive room in Talwade: ₹12576/month,2025-01-06
3104,Offers,10% discount for new customers,2025-01-17
3105,Offers,10% discount for new customers,2025-01-20
3106,Availability,6 Executive rooms available in Baner,2025-01-12
3107,Pricing,Executive room in Baner: ₹11729/month,2025-01-06
3108,Offers,Free first-week meals,2025-01-24
3109,Locations,"PGs available in Talwade, Pimple Saudagar, Hinjawadi, Baner, Kharadi",2025-01-27
3110,Pricing,Executive room in Kharadi: ₹17809/month,2025-02-01
3111,Pricing,Private room in Baner: ₹11232/month,2025-01-21
3112,Locations,"PGs available in Kharadi, Baner, Talwade",2025-01-19
3113,Offers,Free first-week meals,2025-01-08
3114,Availability,5 Private rooms available in Pimple Saudagar,2025-01-17
3115,Locations,"PGs available in Pimple Saudagar, Baner, Kharadi, Hinjawadi, Talwade",2025-01-24
3116,Locations,"PGs available in Baner, Pimple Saudagar, Hinjawadi, Kharadi, Talwade",2025-01-21
3117,Availability,5 Shared rooms available in Baner,2025-01-19
3118,Offers,₹2000 off for 6-month stays,2025-01-16
3119,Locations,"PGs available in Baner, Pimple Saudagar",2025-01-05
3120,Availability,8 Private rooms available in Kharadi,2025-01-04
3121,Availability,5 Shared rooms available in Hinjawadi,2025-01-16
3122,Locations,"PGs available in Pimple Saudagar, Talwade, Kharadi, Baner",2025-01-25
3123,Availability,8 Private rooms available in Hinjawadi,2025-02-01
3124,Locations,"PGs available in Hinjawadi, Talwade, Kharadi, Pimple Saudagar, Baner",2025-01-23
3125,Locations,"PGs available in Pimple Saudagar, Talwade",2025-01-25
3126,Pricing,Private room in Talwade: ₹9308/month,2025-01-08
3127,Pricing,Executive room in Baner: ₹14051/month,2025-01-21
3128,Pricing,Executive room in Baner: ₹15961/month,2025-01-17
3129,Pricing,Shared room in Talwade: ₹9652/month,2025-01-07
3130,Offers,10% discount for new customers,2025-01-29
3131,Availability,9 Private rooms available in Talwade,2025-01-15
3132,Offers,₹2000 off for 6-month stays,2025-01-11
3133,Availability,3 Shared rooms available in Talwade,2025-01-30
3134,Availability,1 Private rooms available in Talwade,2025-01-31
3135,Pricing,Executive room in Hinjawadi: ₹9662/month,2025-01-26
3136,Availability,3 Shared rooms available in Kharadi,2025-01-27
3137,Pricing,Executive room in Talwade: ₹14572/month,2025-01-12
3138,Locations,"PGs available in Talwade, Pimple Saudagar, Kharadi, Baner, Hinjawadi",2025-01-11
3139,Locations,"PGs available in Baner, Talwade",2025-01-28
3140,Availability,7 Executive rooms available in Hinjawadi,2025-01-07
3141,Pricing,Executive room in Hinjawadi: ₹10580/month,2025-01-10
3142,Locations,"PGs available in Pimple Saudagar, Kharadi, Talwade, Baner, Hinjawadi",2025-01-09
3143,Offers,Free first-week meals,2025-01-24
3144,Availability,3 Shared rooms available in Pimple Saudagar,2025-01-24
3145,Pricing,Shared room in Hinjawadi: ₹19745/month,2025-01-29
3146,Offers,Free first-week meals,2025-01-10
3147,Pricing,Shared room in Kharadi: ₹15041/month,2025-01-16
3148,Pricing,Shared room in Baner: ₹8727/month,2025-01-05
3149,Pricing,Shared room in Kharadi: ₹16523/month,2025-01-19
3150,Locations,"PGs available in Talwade, Pimple Saudagar",2025-01-30
3151,Offers,10% discount for new customers,2025-01-07
3152,Locations,"PGs available in Talwade, Pimple Saudagar",2025-01-10
3153,Offers,10% discount for new customers,2025-01-30
3154,Pricing,Executive room in Baner: ₹17609/month,2025-01-05
3155,Pricing,Private room in Pimple Saudagar: ₹15997/month,2025-01-04
3156,Availability,4 Shared rooms available in Talwade,2025-01-21
3157,Locations,"PGs available in Hinjawadi, Talwade, Pimple Saudagar",2025-01-20
3158,Offers,₹2000 off for 6-month stays,2025-02-03
3159,Availability,10 Shared rooms available in Baner,2025-01-05
3160,Availability,8 Private rooms available in Talwade,2025-01-07
3161,Offers,10% discount for new customers,2025-01-08
3162,Locations,"PGs available in Hinjawadi, Pimple Saudagar",2025-01-24
3163,Locations,"PGs available in Kharadi, Hinjawadi",2025-02-03
3164,Locations,"PGs available in Kharadi, Talwade, Pimple Saudagar, Baner, Hinjawadi",2025-02-02
3165,Pricing,Private room in Hinjawadi: ₹16127/month,2025-01-17
3166,Availability,4 Shared rooms available in Hinjawadi,2025-02-01
3167,Availability,3 Shared rooms available in Pimple Saudagar,2025-01-07
3168,Availability,4 Shared rooms available in Baner,2025-01-11
3169,Locations,"PGs available in Baner, Hinjawadi, Pimple Saudagar",2025-01-09
3170,Locations,"PGs available in Baner, Pimple Saudagar, Kharadi",2025-01-28
3171,Locations,"PGs available in Pimple Saudagar, Hinjawadi, Talwade",2025-01-25
3172,Offers,10% discount for new customers,2025-02-02
3173,Offers,Free first-week meals,2025-01-16
3174,Pricing,Private room in Hinjawadi: ₹11000/month,2025-01-27
3175,Availability,3 Executive rooms available in Baner,2025-01-05
3176,Availability,5 Shared rooms available in Hinjawadi,2025-01-10
3177,Locations,"PGs available in Baner, Kharadi",2025-01-12
3178,Offers,₹2000 off for 6-month stays,2025-01-08
3179,Pricing,Executive room in Talwade: ₹8542/month,2025-01-29
3180,Pricing,Executive room in Baner: ₹14519/month,2025-01-04
3181,Availability,5 Private rooms available in Baner,2025-01-23
3182,Availability,4 Private rooms available in Pimple Saudagar,2025-01-14
3183,Locations,"PGs available in Hinjawadi, Kharadi, Pimple Saudagar, Talwade",2025-01-31
3184,Pricing,Executive room in Hinjawadi: ₹12353/month,2025-01-06
3185,Pricing,Executive room in Pimple Saudagar: ₹19002/month,2025-01-23
3186,Locations,"PGs available in Pimple Saudagar, Baner, Talwade",2025-01-25
3187,Availability,7 Private rooms available in Hinjawadi,2025-02-03
3188,Offers,₹2000 off for 6-month stays,2025-02-03
3189,Pricing,Executive room in Hinjawadi: ₹12101/month,2025-01-29
3190,Locations,"PGs available in Talwade, Kharadi",2025-02-01
3191,Availability,9 Private rooms available in Kharadi,2025-01-31
3192,Locations,"PGs available in Kharadi, Hinjawadi, Talwade",2025-01-13
3193,Pricing,Private room in Talwade: ₹17162/month,2025-01-26
3194,Locations,"PGs available in Baner, Pimple Saudagar",2025-01-24
3195,Pricing,Shared room in Baner: ₹11039/month,2025-01-31
3196,Locations,"PGs available in Baner, Hinjawadi, Pimple Saudagar, Kharadi, Talwade",2025-01-27
3197,Availability,6 Executive rooms available in Talwade,2025-01-15
3198,Availability,9 Private rooms available in Hinjawadi,2025-01-10
3199,Pricing,Private room in Hinjawadi: ₹13576/month,2025-01-04
3200,Pricing,Shared room in Kharadi: ₹8262/month,2025-01-07
3201,Offers,₹2000 off for 6-month stays,2025-01-31
3202,Locations,"PGs available in Talwade, Kharadi",2025-01-09
3203,Offers,₹2000 off for 6-month stays,2025-01-15
3204,Availability,5 Private rooms available in Hinjawadi,2025-01-17
3205,Locations,"PGs available in Pimple Saudagar, Baner, Hinjawadi, Talwade, Kharadi",2025-01-31
3206,Locations,"PGs available in Pimple Saudagar, Hinjawadi, Baner, Kharadi, Talwade",2025-01-26
3207,Availability,3 Private rooms available in Hinjawadi,2025-01-20
3208,Offers,10% discount for new customers,2025-01-19
3209,Pricing,Shared room in Baner: ₹17696/month,2025-01-18
3210,Availability,3 Shared rooms available in Hinjawadi,2025-01-30
3211,Locations,"PGs available in Talwade, Hinjawadi, Kharadi, Pimple Saudagar, Baner",2025-01-18
3212,Offers,10% discount for new customers,2025-01-14
3213,Locations,"PGs available in Baner, Pimple Saudagar",2025-01-08
3214,Locations,"PGs available in Kharadi, Hinjawadi, Talwade",2025-01-19
3215,Offers,10% discount for new customers,2025-01-18
3216,Locations,"PGs available in Baner, Hinjawadi, Pimple Saudagar, Talwade",2025-01-18
3217,Offers,Free first-week meals,2025-01-21
3218,Locations,"PGs available in Hinjawadi, Baner, Pimple Saudagar",2025-01-23
3219,Offers,Free first-week meals,2025-01-25
3220,Availability,2 Shared rooms available in Hinjawadi,2025-01-08
3221,Availability,6 Executive rooms available in Pimple Saudagar,2025-01-05
3222,Offers,Free first-week meals,2025-01-30
3223,Locations,"PGs available in Kharadi, Pimple Saudagar, Baner",2025-01-07
3224,Locations,"PGs available in Kharadi, Baner, Pimple Saudagar",2025-02-02
