id,question,answer
2136,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹9266/month.
2137,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Talwade starts at ₹19359/month.
2138,What is the rent for a executive room in Talwade?,The rent for a private room in Kharadi starts at ₹15343/month.
2139,What is the rent for a shared room in Baner?,The rent for a executive room in Hinjawadi starts at ₹8551/month.
2140,What is the rent for a private room in Talwade?,The rent for a private room in Hinjawadi starts at ₹17927/month.
2141,What is the rent for a private room in Pimple Saudagar?,The rent for a executive room in Baner starts at ₹10571/month.
2142,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Kharadi starts at ₹10605/month.
2143,What is the rent for a executive room in Talwade?,The rent for a shared room in Pimple Saudagar starts at ₹14937/month.
2144,What is the rent for a executive room in Pimple Saudagar?,The rent for a shared room in Baner starts at ₹15389/month.
2145,What is the rent for a shared room in Baner?,The rent for a executive room in Baner starts at ₹13776/month.
2146,What is the rent for a shared room in Kharadi?,The rent for a executive room in Talwade starts at ₹14717/month.
2147,What is the rent for a executive room in Talwade?,The rent for a private room in Talwade starts at ₹14101/month.
2148,What is the rent for a private room in Kharadi?,The rent for a shared room in Talwade starts at ₹16418/month.
2149,What is the rent for a executive room in Talwade?,The rent for a shared room in Pimple Saudagar starts at ₹12621/month.
2150,What is the rent for a executive room in Kharadi?,The rent for a private room in Pimple Saudagar starts at ₹11556/month.
2151,What is the rent for a executive room in Baner?,The rent for a executive room in Kharadi starts at ₹11207/month.
2152,What is the rent for a executive room in Talwade?,The rent for a shared room in Kharadi starts at ₹14726/month.
2153,What is the rent for a shared room in Talwade?,The rent for a executive room in Pimple Saudagar starts at ₹15031/month.
2154,What is the rent for a shared room in Pimple Saudagar?,The rent for a executive room in Pimple Saudagar starts at ₹10172/month.
2155,What is the rent for a private room in Kharadi?,The rent for a private room in Talwade starts at ₹13610/month.
2156,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Kharadi starts at ₹15618/month.
2157,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Kharadi starts at ₹11846/month.
2158,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Kharadi starts at ₹16931/month.
2159,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Baner starts at ₹17650/month.
2160,What is the rent for a private room in Hinjawadi?,The rent for a private room in Hinjawadi starts at ₹15919/month.
2161,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Kharadi starts at ₹10603/month.
2162,What is the rent for a private room in Hinjawadi?,The rent for a executive room in Talwade starts at ₹17339/month.
2163,What is the rent for a shared room in Kharadi?,The rent for a executive room in Talwade starts at ₹14494/month.
2164,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Talwade starts at ₹11493/month.
2165,What is the rent for a shared room in Talwade?,The rent for a private room in Kharadi starts at ₹16216/month.
2166,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Talwade starts at ₹18964/month.
2167,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Talwade starts at ₹16052/month.
2168,What is the rent for a executive room in Kharadi?,The rent for a private room in Hinjawadi starts at ₹9054/month.
2169,What is the rent for a private room in Baner?,The rent for a shared room in Hinjawadi starts at ₹8596/month.
2170,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Talwade starts at ₹18089/month.
2171,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Baner starts at ₹13947/month.
2172,What is the rent for a shared room in Kharadi?,The rent for a private room in Kharadi starts at ₹18516/month.
2173,What is the rent for a private room in Talwade?,The rent for a executive room in Baner starts at ₹8820/month.
2174,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Kharadi starts at ₹15624/month.
2175,What is the rent for a private room in Baner?,The rent for a executive room in Kharadi starts at ₹17922/month.
2176,What is the rent for a shared room in Baner?,The rent for a private room in Talwade starts at ₹14200/month.
2177,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Pimple Saudagar starts at ₹10927/month.
2178,What is the rent for a executive room in Talwade?,The rent for a shared room in Hinjawadi starts at ₹17251/month.
2179,What is the rent for a executive room in Talwade?,The rent for a private room in Baner starts at ₹9633/month.
2180,What is the rent for a executive room in Kharadi?,The rent for a shared room in Baner starts at ₹11271/month.
2181,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Pimple Saudagar starts at ₹16277/month.
2182,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Hinjawadi starts at ₹15866/month.
2183,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Talwade starts at ₹15289/month.
2184,What is the rent for a private room in Talwade?,The rent for a shared room in Baner starts at ₹14701/month.
2185,What is the rent for a private room in Hinjawadi?,The rent for a executive room in Pimple Saudagar starts at ₹8642/month.
2186,What is the rent for a private room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹9710/month.
2187,What is the rent for a executive room in Talwade?,The rent for a executive room in Talwade starts at ₹10114/month.
2188,What is the rent for a private room in Baner?,The rent for a shared room in Kharadi starts at ₹12727/month.
2189,What is the rent for a private room in Hinjawadi?,The rent for a executive room in Baner starts at ₹10294/month.
2190,What is the rent for a private room in Kharadi?,The rent for a private room in Talwade starts at ₹12990/month.
2191,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Pimple Saudagar starts at ₹13608/month.
2192,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Baner starts at ₹11306/month.
2193,What is the rent for a shared room in Pimple Saudagar?,The rent for a executive room in Hinjawadi starts at ₹15086/month.
2194,What is the rent for a executive room in Kharadi?,The rent for a shared room in Talwade starts at ₹9945/month.
2195,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Talwade starts at ₹10135/month.
2196,What is the rent for a private room in Baner?,The rent for a executive room in Talwade starts at ₹11922/month.
2197,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Hinjawadi starts at ₹17571/month.
2198,What is the rent for a shared room in Kharadi?,The rent for a shared room in Hinjawadi starts at ₹11780/month.
2199,What is the rent for a shared room in Baner?,The rent for a executive room in Kharadi starts at ₹12455/month.
2200,What is the rent for a shared room in Talwade?,The rent for a executive room in Kharadi starts at ₹19948/month.
2201,What is the rent for a private room in Talwade?,The rent for a executive room in Talwade starts at ₹13266/month.
2202,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Baner starts at ₹16581/month.
2203,What is the rent for a private room in Talwade?,The rent for a executive room in Pimple Saudagar starts at ₹15396/month.
2204,What is the rent for a executive room in Pimple Saudagar?,The rent for a shared room in Baner starts at ₹18448/month.
2205,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Kharadi starts at ₹10406/month.
2206,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Baner starts at ₹11272/month.
2207,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Baner starts at ₹9441/month.
2208,What is the rent for a shared room in Talwade?,The rent for a executive room in Hinjawadi starts at ₹8158/month.
2209,What is the rent for a shared room in Baner?,The rent for a executive room in Kharadi starts at ₹10619/month.
2210,What is the rent for a executive room in Baner?,The rent for a executive room in Talwade starts at ₹13833/month.
2211,What is the rent for a private room in Talwade?,The rent for a executive room in Pimple Saudagar starts at ₹12559/month.
2212,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Talwade starts at ₹19606/month.
2213,What is the rent for a shared room in Talwade?,The rent for a shared room in Baner starts at ₹19379/month.
2214,What is the rent for a executive room in Talwade?,The rent for a private room in Pimple Saudagar starts at ₹15701/month.
2215,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Talwade starts at ₹12550/month.
2216,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Pimple Saudagar starts at ₹12976/month.
2217,What is the rent for a executive room in Baner?,The rent for a shared room in Talwade starts at ₹10345/month.
2218,What is the rent for a shared room in Baner?,The rent for a shared room in Baner starts at ₹12907/month.
2219,What is the rent for a private room in Kharadi?,The rent for a shared room in Talwade starts at ₹15283/month.
2220,What is the rent for a private room in Talwade?,The rent for a executive room in Hinjawadi starts at ₹8853/month.
2221,What is the rent for a shared room in Baner?,The rent for a private room in Hinjawadi starts at ₹12103/month.
2222,What is the rent for a executive room in Kharadi?,The rent for a shared room in Baner starts at ₹8176/month.
2223,What is the rent for a shared room in Baner?,The rent for a shared room in Baner starts at ₹9541/month.
2224,What is the rent for a shared room in Baner?,The rent for a private room in Talwade starts at ₹17139/month.
2225,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Baner starts at ₹14320/month.
2226,What is the rent for a executive room in Baner?,The rent for a executive room in Pimple Saudagar starts at ₹9759/month.
2227,What is the rent for a private room in Kharadi?,The rent for a private room in Baner starts at ₹13052/month.
2228,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Baner starts at ₹8559/month.
2229,What is the rent for a private room in Talwade?,The rent for a executive room in Kharadi starts at ₹14403/month.
2230,What is the rent for a private room in Hinjawadi?,The rent for a executive room in Hinjawadi starts at ₹10897/month.
2231,What is the rent for a private room in Talwade?,The rent for a shared room in Hinjawadi starts at ₹19973/month.
2232,What is the rent for a private room in Talwade?,The rent for a executive room in Talwade starts at ₹12180/month.
2233,What is the rent for a executive room in Talwade?,The rent for a private room in Talwade starts at ₹15766/month.
2234,What is the rent for a private room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹8898/month.
2235,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Baner starts at ₹19583/month.
2236,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Hinjawadi starts at ₹8985/month.
2237,What is the rent for a shared room in Kharadi?,The rent for a executive room in Kharadi starts at ₹15850/month.
2238,What is the rent for a private room in Pimple Saudagar?,The rent for a executive room in Kharadi starts at ₹13947/month.
2239,What is the rent for a private room in Kharadi?,The rent for a private room in Talwade starts at ₹10121/month.
2240,What is the rent for a shared room in Baner?,The rent for a private room in Kharadi starts at ₹15242/month.
2241,What is the rent for a private room in Hinjawadi?,The rent for a private room in Baner starts at ₹15956/month.
2242,What is the rent for a executive room in Kharadi?,The rent for a executive room in Hinjawadi starts at ₹10719/month.
2243,What is the rent for a executive room in Baner?,The rent for a private room in Pimple Saudagar starts at ₹9572/month.
2244,What is the rent for a shared room in Baner?,The rent for a shared room in Pimple Saudagar starts at ₹12752/month.
2245,What is the rent for a shared room in Kharadi?,The rent for a shared room in Talwade starts at ₹16367/month.
2246,What is the rent for a private room in Hinjawadi?,The rent for a private room in Talwade starts at ₹11706/month.
2247,What is the rent for a executive room in Baner?,The rent for a shared room in Kharadi starts at ₹17791/month.
2248,What is the rent for a private room in Talwade?,The rent for a private room in Hinjawadi starts at ₹18475/month.
2249,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Talwade starts at ₹8051/month.
2250,What is the rent for a executive room in Kharadi?,The rent for a private room in Hinjawadi starts at ₹16664/month.
2251,What is the rent for a executive room in Baner?,The rent for a shared room in Kharadi starts at ₹15127/month.
2252,What is the rent for a executive room in Talwade?,The rent for a shared room in Kharadi starts at ₹13907/month.
2253,What is the rent for a shared room in Pimple Saudagar?,The rent for a executive room in Hinjawadi starts at ₹13586/month.
2254,What is the rent for a private room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹9411/month.
2255,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Talwade starts at ₹11292/month.
2256,What is the rent for a executive room in Kharadi?,The rent for a shared room in Hinjawadi starts at ₹17072/month.
2257,What is the rent for a executive room in Baner?,The rent for a private room in Baner starts at ₹15098/month.
2258,What is the rent for a private room in Hinjawadi?,The rent for a executive room in Pimple Saudagar starts at ₹14061/month.
2259,What is the rent for a private room in Kharadi?,The rent for a executive room in Hinjawadi starts at ₹14806/month.
2260,What is the rent for a shared room in Kharadi?,The rent for a executive room in Pimple Saudagar starts at ₹8405/month.
2261,What is the rent for a private room in Kharadi?,The rent for a executive room in Hinjawadi starts at ₹19396/month.
2262,What is the rent for a executive room in Kharadi?,The rent for a shared room in Kharadi starts at ₹14872/month.
2263,What is the rent for a shared room in Kharadi?,The rent for a shared room in Talwade starts at ₹14313/month.
2264,What is the rent for a private room in Talwade?,The rent for a executive room in Pimple Saudagar starts at ₹9792/month.
2265,What is the rent for a executive room in Baner?,The rent for a private room in Pimple Saudagar starts at ₹13196/month.
2266,What is the rent for a private room in Baner?,The rent for a shared room in Hinjawadi starts at ₹15029/month.
2267,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Kharadi starts at ₹9742/month.
2268,What is the rent for a private room in Talwade?,The rent for a shared room in Kharadi starts at ₹16871/month.
2269,What is the rent for a private room in Baner?,The rent for a shared room in Baner starts at ₹13682/month.
2270,What is the rent for a private room in Kharadi?,The rent for a private room in Baner starts at ₹14485/month.
2271,What is the rent for a shared room in Kharadi?,The rent for a executive room in Baner starts at ₹10636/month.
2272,What is the rent for a private room in Baner?,The rent for a private room in Pimple Saudagar starts at ₹19352/month.
2273,What is the rent for a private room in Hinjawadi?,The rent for a private room in Baner starts at ₹18671/month.
2274,What is the rent for a private room in Pimple Saudagar?,The rent for a executive room in Hinjawadi starts at ₹9737/month.
2275,What is the rent for a shared room in Kharadi?,The rent for a executive room in Pimple Saudagar starts at ₹10631/month.
2276,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Hinjawadi starts at ₹18957/month.
2277,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Baner starts at ₹17268/month.
2278,What is the rent for a private room in Baner?,The rent for a shared room in Talwade starts at ₹11791/month.
2279,What is the rent for a executive room in Kharadi?,The rent for a private room in Pimple Saudagar starts at ₹12512/month.
2280,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Pimple Saudagar starts at ₹13042/month.
2281,What is the rent for a shared room in Talwade?,The rent for a shared room in Hinjawadi starts at ₹14513/month.
2282,What is the rent for a private room in Kharadi?,The rent for a private room in Baner starts at ₹18691/month.
2283,What is the rent for a executive room in Pimple Saudagar?,The rent for a shared room in Pimple Saudagar starts at ₹13084/month.
2284,What is the rent for a executive room in Talwade?,The rent for a private room in Baner starts at ₹12489/month.
2285,What is the rent for a private room in Baner?,The rent for a private room in Baner starts at ₹8396/month.
2286,What is the rent for a executive room in Kharadi?,The rent for a private room in Talwade starts at ₹16604/month.
2287,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Baner starts at ₹10389/month.
2288,What is the rent for a executive room in Pimple Saudagar?,The rent for a shared room in Hinjawadi starts at ₹16459/month.
2289,What is the rent for a shared room in Kharadi?,The rent for a shared room in Kharadi starts at ₹15409/month.
2290,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Hinjawadi starts at ₹9245/month.
2291,What is the rent for a shared room in Baner?,The rent for a executive room in Talwade starts at ₹15419/month.
2292,What is the rent for a executive room in Kharadi?,The rent for a executive room in Hinjawadi starts at ₹9965/month.
2293,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Pimple Saudagar starts at ₹14309/month.
2294,What is the rent for a executive room in Kharadi?,The rent for a shared room in Baner starts at ₹19062/month.
2295,What is the rent for a shared room in Pimple Saudagar?,The rent for a executive room in Hinjawadi starts at ₹14379/month.
2296,What is the rent for a executive room in Kharadi?,The rent for a shared room in Pimple Saudagar starts at ₹10214/month.
2297,What is the rent for a private room in Kharadi?,The rent for a executive room in Hinjawadi starts at ₹16507/month.
2298,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Hinjawadi starts at ₹8298/month.
2299,What is the rent for a executive room in Baner?,The rent for a shared room in Talwade starts at ₹8754/month.
2300,What is the rent for a shared room in Baner?,The rent for a shared room in Kharadi starts at ₹16864/month.
2301,What is the rent for a shared room in Talwade?,The rent for a private room in Hinjawadi starts at ₹12684/month.
2302,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹9901/month.
2303,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Pimple Saudagar starts at ₹12456/month.
2304,What is the rent for a executive room in Baner?,The rent for a shared room in Baner starts at ₹14192/month.
2305,What is the rent for a private room in Pimple Saudagar?,The rent for a executive room in Hinjawadi starts at ₹8325/month.
2306,What is the rent for a private room in Talwade?,The rent for a executive room in Kharadi starts at ₹11817/month.
2307,What is the rent for a shared room in Talwade?,The rent for a shared room in Kharadi starts at ₹14202/month.
2308,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Pimple Saudagar starts at ₹8818/month.
2309,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Pimple Saudagar starts at ₹11025/month.
2310,What is the rent for a executive room in Baner?,The rent for a executive room in Kharadi starts at ₹19042/month.
2311,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Hinjawadi starts at ₹16580/month.
2312,What is the rent for a executive room in Baner?,The rent for a executive room in Baner starts at ₹18610/month.
2313,What is the rent for a private room in Baner?,The rent for a shared room in Talwade starts at ₹18083/month.
2314,What is the rent for a private room in Talwade?,The rent for a shared room in Baner starts at ₹9490/month.
2315,What is the rent for a shared room in Kharadi?,The rent for a shared room in Talwade starts at ₹9829/month.
2316,What is the rent for a private room in Hinjawadi?,The rent for a executive room in Hinjawadi starts at ₹11908/month.
2317,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Baner starts at ₹10315/month.
2318,What is the rent for a executive room in Baner?,The rent for a private room in Baner starts at ₹11338/month.
2319,What is the rent for a private room in Talwade?,The rent for a shared room in Pimple Saudagar starts at ₹18995/month.
2320,What is the rent for a shared room in Baner?,The rent for a executive room in Baner starts at ₹10729/month.
2321,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Talwade starts at ₹8596/month.
2322,What is the rent for a private room in Talwade?,The rent for a private room in Pimple Saudagar starts at ₹15465/month.
2323,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Baner starts at ₹8007/month.
2324,What is the rent for a executive room in Kharadi?,The rent for a private room in Kharadi starts at ₹16570/month.
2325,What is the rent for a private room in Baner?,The rent for a executive room in Baner starts at ₹8087/month.
2326,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Talwade starts at ₹8496/month.
2327,What is the rent for a shared room in Kharadi?,The rent for a private room in Hinjawadi starts at ₹8783/month.
2328,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Kharadi starts at ₹12323/month.
2329,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Kharadi starts at ₹9465/month.
2330,What is the rent for a shared room in Talwade?,The rent for a executive room in Kharadi starts at ₹17123/month.
2331,What is the rent for a private room in Talwade?,The rent for a private room in Hinjawadi starts at ₹19701/month.
2332,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Hinjawadi starts at ₹11348/month.
2333,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Talwade starts at ₹16590/month.
2334,What is the rent for a private room in Pimple Saudagar?,The rent for a executive room in Kharadi starts at ₹8053/month.
2335,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Hinjawadi starts at ₹13344/month.
2336,What is the rent for a executive room in Talwade?,The rent for a shared room in Baner starts at ₹19018/month.
2337,What is the rent for a shared room in Talwade?,The rent for a private room in Kharadi starts at ₹12165/month.
2338,What is the rent for a shared room in Baner?,The rent for a private room in Baner starts at ₹8834/month.
2339,What is the rent for a shared room in Baner?,The rent for a executive room in Pimple Saudagar starts at ₹9758/month.
2340,What is the rent for a private room in Baner?,The rent for a private room in Kharadi starts at ₹13646/month.
2341,What is the rent for a shared room in Pimple Saudagar?,The rent for a executive room in Kharadi starts at ₹9235/month.
2342,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Baner starts at ₹12169/month.
2343,What is the rent for a shared room in Baner?,The rent for a shared room in Talwade starts at ₹15338/month.
2344,What is the rent for a executive room in Talwade?,The rent for a shared room in Kharadi starts at ₹10560/month.
2345,What is the rent for a shared room in Baner?,The rent for a shared room in Hinjawadi starts at ₹15356/month.
2346,What is the rent for a private room in Baner?,The rent for a private room in Hinjawadi starts at ₹16395/month.
2347,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Talwade starts at ₹9912/month.
2348,What is the rent for a shared room in Hinjawadi?,The rent for a shared room in Pimple Saudagar starts at ₹15975/month.
2349,What is the rent for a private room in Talwade?,The rent for a executive room in Baner starts at ₹19654/month.
2350,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Hinjawadi starts at ₹8522/month.
2351,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Baner starts at ₹9398/month.
2352,What is the rent for a private room in Baner?,The rent for a executive room in Pimple Saudagar starts at ₹14927/month.
2353,What is the rent for a private room in Talwade?,The rent for a shared room in Hinjawadi starts at ₹15080/month.
2354,What is the rent for a shared room in Baner?,The rent for a executive room in Hinjawadi starts at ₹10585/month.
2355,What is the rent for a shared room in Baner?,The rent for a shared room in Baner starts at ₹8436/month.
2356,What is the rent for a executive room in Baner?,The rent for a private room in Hinjawadi starts at ₹9863/month.
2357,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Kharadi starts at ₹19081/month.
2358,What is the rent for a executive room in Pimple Saudagar?,The rent for a shared room in Kharadi starts at ₹8057/month.
2359,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Talwade starts at ₹10739/month.
2360,What is the rent for a private room in Baner?,The rent for a executive room in Kharadi starts at ₹18467/month.
2361,What is the rent for a shared room in Pimple Saudagar?,The rent for a executive room in Talwade starts at ₹12332/month.
2362,What is the rent for a private room in Baner?,The rent for a private room in Hinjawadi starts at ₹14627/month.
2363,What is the rent for a shared room in Kharadi?,The rent for a shared room in Kharadi starts at ₹8177/month.
2364,What is the rent for a shared room in Kharadi?,The rent for a shared room in Talwade starts at ₹18537/month.
2365,What is the rent for a executive room in Talwade?,The rent for a shared room in Kharadi starts at ₹12691/month.
2366,What is the rent for a private room in Baner?,The rent for a executive room in Kharadi starts at ₹15463/month.
2367,What is the rent for a executive room in Kharadi?,The rent for a private room in Kharadi starts at ₹13098/month.
2368,What is the rent for a shared room in Talwade?,The rent for a shared room in Pimple Saudagar starts at ₹11671/month.
2369,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Hinjawadi starts at ₹14057/month.
2370,What is the rent for a private room in Kharadi?,The rent for a private room in Talwade starts at ₹10179/month.
2371,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Hinjawadi starts at ₹16589/month.
2372,What is the rent for a executive room in Talwade?,The rent for a executive room in Talwade starts at ₹12310/month.
2373,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Kharadi starts at ₹19216/month.
2374,What is the rent for a private room in Pimple Saudagar?,The rent for a executive room in Pimple Saudagar starts at ₹17874/month.
2375,What is the rent for a executive room in Kharadi?,The rent for a executive room in Hinjawadi starts at ₹15746/month.
2376,What is the rent for a shared room in Talwade?,The rent for a executive room in Kharadi starts at ₹12785/month.
2377,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Pimple Saudagar starts at ₹17545/month.
2378,What is the rent for a private room in Kharadi?,The rent for a executive room in Pimple Saudagar starts at ₹8451/month.
2379,What is the rent for a executive room in Kharadi?,The rent for a shared room in Talwade starts at ₹14434/month.
2380,What is the rent for a private room in Talwade?,The rent for a shared room in Pimple Saudagar starts at ₹17228/month.
2381,What is the rent for a private room in Pimple Saudagar?,The rent for a executive room in Baner starts at ₹13144/month.
2382,What is the rent for a shared room in Talwade?,The rent for a private room in Pimple Saudagar starts at ₹13190/month.
2383,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Baner starts at ₹13025/month.
2384,What is the rent for a shared room in Baner?,The rent for a private room in Pimple Saudagar starts at ₹9876/month.
2385,What is the rent for a shared room in Kharadi?,The rent for a private room in Baner starts at ₹13105/month.
2386,What is the rent for a shared room in Talwade?,The rent for a shared room in Kharadi starts at ₹18976/month.
2387,What is the rent for a executive room in Pimple Saudagar?,The rent for a shared room in Kharadi starts at ₹18848/month.
2388,What is the rent for a shared room in Talwade?,The rent for a shared room in Talwade starts at ₹17370/month.
2389,What is the rent for a shared room in Baner?,The rent for a private room in Talwade starts at ₹10861/month.
2390,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹10605/month.
2391,What is the rent for a shared room in Kharadi?,The rent for a executive room in Pimple Saudagar starts at ₹10635/month.
2392,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Hinjawadi starts at ₹8617/month.
2393,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Kharadi starts at ₹15173/month.
2394,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Kharadi starts at ₹11451/month.
2395,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Pimple Saudagar starts at ₹9223/month.
2396,What is the rent for a shared room in Talwade?,The rent for a private room in Pimple Saudagar starts at ₹19068/month.
2397,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹17993/month.
2398,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Pimple Saudagar starts at ₹16805/month.
2399,What is the rent for a executive room in Baner?,The rent for a shared room in Hinjawadi starts at ₹9348/month.
2400,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Talwade starts at ₹18323/month.
2401,What is the rent for a executive room in Talwade?,The rent for a private room in Kharadi starts at ₹19500/month.
2402,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Pimple Saudagar starts at ₹14230/month.
2403,What is the rent for a executive room in Pimple Saudagar?,The rent for a shared room in Talwade starts at ₹9212/month.
2404,What is the rent for a private room in Baner?,The rent for a shared room in Hinjawadi starts at ₹14472/month.
2405,What is the rent for a shared room in Pimple Saudagar?,The rent for a executive room in Talwade starts at ₹14205/month.
2406,What is the rent for a executive room in Baner?,The rent for a private room in Pimple Saudagar starts at ₹11391/month.
2407,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Kharadi starts at ₹15333/month.
2408,What is the rent for a shared room in Kharadi?,The rent for a shared room in Baner starts at ₹18701/month.
2409,What is the rent for a private room in Kharadi?,The rent for a shared room in Kharadi starts at ₹14842/month.
2410,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Baner starts at ₹8595/month.
2411,What is the rent for a executive room in Talwade?,The rent for a private room in Pimple Saudagar starts at ₹12577/month.
2412,What is the rent for a executive room in Kharadi?,The rent for a executive room in Hinjawadi starts at ₹13449/month.
2413,What is the rent for a shared room in Talwade?,The rent for a private room in Pimple Saudagar starts at ₹13324/month.
2414,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Hinjawadi starts at ₹12666/month.
2415,What is the rent for a private room in Talwade?,The rent for a private room in Baner starts at ₹12918/month.
2416,What is the rent for a shared room in Talwade?,The rent for a private room in Baner starts at ₹17727/month.
2417,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Pimple Saudagar starts at ₹13976/month.
2418,What is the rent for a shared room in Baner?,The rent for a shared room in Talwade starts at ₹19129/month.
2419,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Hinjawadi starts at ₹13985/month.
2420,What is the rent for a shared room in Kharadi?,The rent for a private room in Hinjawadi starts at ₹14692/month.
2421,What is the rent for a private room in Kharadi?,The rent for a private room in Baner starts at ₹18109/month.
2422,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Kharadi starts at ₹8305/month.
2423,What is the rent for a private room in Kharadi?,The rent for a executive room in Talwade starts at ₹9467/month.
2424,What is the rent for a private room in Kharadi?,The rent for a private room in Hinjawadi starts at ₹17868/month.
2425,What is the rent for a shared room in Talwade?,The rent for a executive room in Talwade starts at ₹11513/month.
2426,What is the rent for a executive room in Baner?,The rent for a shared room in Talwade starts at ₹14380/month.
2427,What is the rent for a private room in Hinjawadi?,The rent for a private room in Talwade starts at ₹10566/month.
2428,What is the rent for a private room in Kharadi?,The rent for a private room in Talwade starts at ₹10767/month.
2429,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹19990/month.
